To	From
ENSG00000162772	ATF3
ENSG00000198468	FLVCR1-AS1
ENSG00000117724	CENPF
ENSG00000143748	NVL
ENSG00000196187	TMEM63A
ENSG00000143772	ITPKB
ENSG00000181450	ZNF678
ENSG00000143740	SNAP47
ENSG00000143641	GALNT2
ENSG00000135749	PCNXL2
ENSG00000231663	RP5-827C21.4
ENSG00000059588	TARBP1
ENSG00000188739	RBM34
ENSG00000143669	LYST
ENSG00000086619	ERO1LB
ENSG00000117020	AKT3
ENSG00000179456	ZBTB18
ENSG00000188206	HNRNPU-AS1
ENSG00000185420	SMYD3
ENSG00000162852	CNST
ENSG00000188295	ZNF669
ENSG00000171163	ZNF692
ENSG00000035115	SH3YL1
ENSG00000171863	RPS7
ENSG00000134321	RSAD2
ENSG00000235576	AC092580.4
ENSG00000115738	ID2
ENSG00000134324	LPIN1
ENSG00000228784	LINC00954
ENSG00000183891	TTC32
ENSG00000143878	RHOB
ENSG00000173960	UBXN2A
ENSG00000219626	FAM228B
ENSG00000115137	DNAJC27
ENSG00000115138	POMC
ENSG00000119772	DNMT3A
ENSG00000138101	DTNB
ENSG00000243943	ZNF512
ENSG00000171103	TRMT61B
ENSG00000213626	LBH
ENSG00000172954	LCLAT1
ENSG00000162959	MEMO1
ENSG00000150938	CRIM1
ENSG00000008869	HEATR5B
ENSG00000055332	EIF2AK2
ENSG00000163171	CDC42EP3
ENSG00000138061	CYP1B1
ENSG00000057935	MTA3
ENSG00000115970	THADA
ENSG00000143919	CAMKMT
ENSG00000171132	PRKCE
ENSG00000116016	EPAS1
ENSG00000250565	ATP6V1E2
ENSG00000170634	ACYP2
ENSG00000115306	SPTBN1
ENSG00000143947	RPS27A
ENSG00000163001	CCDC104
ENSG00000272606	RP11-554J4.1
ENSG00000119866	BCL11A
ENSG00000162924	REL
ENSG00000173209	AHSA2
ENSG00000170340	B3GNT2
ENSG00000011523	CEP68
ENSG00000115956	PLEK
ENSG00000163219	ARHGAP25
ENSG00000115977	AAK1
ENSG00000059728	MXD1
ENSG00000179818	PCBP1-AS1
ENSG00000115998	C2orf42
ENSG00000005448	WDR54
ENSG00000204822	MRPL53
ENSG00000135637	CCDC142
ENSG00000186854	TRABD2A
ENSG00000034510	TMSB10
ENSG00000115459	ELMOD3
ENSG00000042493	CAPG
ENSG00000168899	VAMP5
ENSG00000115523	GNLY
ENSG00000153563	CD8A
ENSG00000172116	CD8B
ENSG00000222041	LINC00152
ENSG00000273445	RP11-1399P15.1
ENSG00000172005	MAL
ENSG00000144026	ZNF514
ENSG00000232931	LINC00342
ENSG00000174501	ANKRD36C
ENSG00000158050	DUSP2
ENSG00000168763	CNNM3
ENSG00000135976	ANKRD36
ENSG00000230606	AC159540.1
ENSG00000115085	ZAP70
ENSG00000226791	AC109826.1
ENSG00000135951	TSGA10
ENSG00000144182	LIPT1
ENSG00000144218	AFF3
ENSG00000071082	RPL31
ENSG00000071054	MAP4K4
ENSG00000272994	RP11-332H14.2
ENSG00000071051	NCK2
ENSG00000135968	GCC2
ENSG00000015568	RGPD5
ENSG00000153094	BCL2L11
ENSG00000172965	MIR4435-1HG
ENSG00000144152	FBLN7
ENSG00000144161	ZC3H8
ENSG00000188177	ZC3H6
ENSG00000237753	AC079922.3
ENSG00000115008	IL1A
ENSG00000125538	IL1B
ENSG00000136689	IL1RN
ENSG00000125637	PSD4
ENSG00000144134	RABL2A
ENSG00000270019	RP11-141B14.1
ENSG00000019169	MARCO
ENSG00000144120	TMEM177
ENSG00000088179	PTPN4
ENSG00000074054	CLASP1
ENSG00000236859	NIFK-AS1
ENSG00000136732	GYPC
ENSG00000136717	BIN1
ENSG00000152127	MGAT5
ENSG00000121966	CXCR4
ENSG00000115919	KYNU
ENSG00000075884	ARHGAP15
ENSG00000121964	GTDC1
ENSG00000204406	MBD5
ENSG00000184898	RBM43
ENSG00000123610	TNFAIP6
ENSG00000153234	NR4A2
ENSG00000115165	CYTIP
ENSG00000144283	PKP4
ENSG00000197635	DPP4
ENSG00000123607	TTC21B
ENSG00000198648	STK39
ENSG00000123600	METTL8
ENSG00000091409	ITGA6
ENSG00000152256	PDK1
ENSG00000138433	CIR1
ENSG00000163328	GPR155
ENSG00000163364	LINC01116
ENSG00000155657	TTN
ENSG00000115232	ITGA4
ENSG00000138449	SLC40A1
ENSG00000151687	ANKAR
ENSG00000128694	OSGEPL1
ENSG00000064933	PMS1
ENSG00000189362	TMEM194B
ENSG00000115415	STAT1
ENSG00000138378	STAT4
ENSG00000196950	SLC39A10
ENSG00000081320	STK17B
ENSG00000272211	RP11-347P5.1
ENSG00000197121	PGAP1
ENSG00000144381	HSPD1
ENSG00000115541	HSPE1
ENSG00000162971	TYW5
ENSG00000013441	CLK1
ENSG00000115942	ORC2
ENSG00000064012	CASP8
ENSG00000138439	FAM117B
ENSG00000163596	ICA1L
ENSG00000138380	CARF
ENSG00000144426	NBEAL1
ENSG00000138443	ABI2
ENSG00000178562	CD28
ENSG00000163600	ICOS
ENSG00000114942	EEF1B2
ENSG00000224137	AC079767.4
ENSG00000272807	RP11-260M2.1
ENSG00000115365	LANCL1
ENSG00000144451	SPAG16
ENSG00000115414	FN1
ENSG00000115425	PECR
ENSG00000197756	RPL37A
ENSG00000018280	SLC11A1
ENSG00000163481	RNF25
ENSG00000135929	CYP27A1
ENSG00000163516	ANKZF1
ENSG00000127824	TUBA4A
ENSG00000135924	DNAJB2
ENSG00000152056	AP1S3
ENSG00000153823	PID1
ENSG00000079263	SP140
ENSG00000135916	ITM2C
ENSG00000115053	NCL
ENSG00000144524	COPS7B
ENSG00000144535	DIS3L2
ENSG00000221944	TIGD1
ENSG00000085978	ATG16L1
ENSG00000077044	DGKD
ENSG00000188042	ARL4C
ENSG00000132329	RAMP1
ENSG00000144485	HES6
ENSG00000222020	AC062017.1
ENSG00000144504	ANKMY1
ENSG00000260942	CAPN10-AS1
ENSG00000122085	MTERFD2
ENSG00000115687	PASK
ENSG00000168395	ING5
ENSG00000196220	SRGAP3
ENSG00000206573	SETD5-AS1
ENSG00000163704	PRRT3
ENSG00000144554	FANCD2
ENSG00000157017	GHRL
ENSG00000154743	TSEN2
ENSG00000144713	RPL32
ENSG00000132182	NUP210
ENSG00000224660	SH3BP5-AS1
ENSG00000154814	OXNAD1
ENSG00000182568	SATB1
ENSG00000174738	NR1D2
ENSG00000163508	EOMES
ENSG00000187118	CMC1
ENSG00000170293	CMTM8
ENSG00000168016	TRANK1
ENSG00000178567	EPM2AIP1
ENSG00000136059	VILL
ENSG00000187091	PLCD1
ENSG00000114739	ACVR2B
ENSG00000157036	EXOG
ENSG00000144655	CSRNP1
ENSG00000144659	SLC25A38
ENSG00000168028	RPSA
ENSG00000188846	RPL14
ENSG00000168038	ULK4
ENSG00000114857	NKTR
ENSG00000163788	SNRK
ENSG00000185219	ZNF445
ENSG00000169964	TMEM42
ENSG00000163818	LZTFL1
ENSG00000163820	FYCO1
ENSG00000121807	CCR2
ENSG00000160796	NBEAL2
ENSG00000181555	SETD2
ENSG00000164053	ATRIP
ENSG00000221883	ARIH2OS
ENSG00000178252	WDR6
ENSG00000178149	DALRD3
ENSG00000178035	IMPDH2
ENSG00000233276	GPX1
ENSG00000243477	NAT6
ENSG00000068028	RASSF1
ENSG00000114388	NPRL2
ENSG00000271858	XXcos-LUCA11.4
ENSG00000114737	CISH
ENSG00000114779	ABHD14B
ENSG00000248487	ABHD14A
ENSG00000162244	RPL29
ENSG00000023330	ALAS1
ENSG00000010327	STAB1
ENSG00000163947	ARHGEF3
ENSG00000189283	FHIT
ENSG00000163380	LMOD3
ENSG00000114861	FOXP1
ENSG00000255423	EBLN2
ENSG00000269028	MTRNR2L12
ENSG00000080822	CLDND1
ENSG00000184220	CMSS1
ENSG00000138468	SENP7
ENSG00000114391	RPL24
ENSG00000182504	CEP97
ENSG00000114423	CBLB
ENSG00000114439	BBX
ENSG00000271856	RP11-861A13.4
ENSG00000114446	IFT57
ENSG00000198919	DZIP3
ENSG00000163519	TRAT1
ENSG00000153283	CD96
ENSG00000163611	SPICE1
ENSG00000163617	KIAA1407
ENSG00000181847	TIGIT
ENSG00000259976	RP11-553L6.5
ENSG00000181722	ZBTB20
ENSG00000241295	ZBTB20-AS2
ENSG00000121578	B4GALT4
ENSG00000163389	POGLUT1
ENSG00000121552	CSTA
ENSG00000272758	RP11-299J3.8
ENSG00000173200	PARP15
ENSG00000173706	HEG1
ENSG00000114544	SLC41A3
ENSG00000074416	MGLL
ENSG00000184897	H1FX
ENSG00000034533	ASTE1
ENSG00000113971	NPHP3
ENSG00000155903	RASA2
ENSG00000114126	TFDP2
ENSG00000272565	RP11-485G4.2
ENSG00000175066	GK5
ENSG00000071794	HLTF
ENSG00000174946	GPR171
ENSG00000174944	P2RY14
ENSG00000174928	C3orf33
ENSG00000243926	TIPARP-AS1
ENSG00000118849	RARRES1
ENSG00000068885	IFT80
ENSG00000213186	TRIM59
ENSG00000163536	SERPINI1
ENSG00000085274	MYNN
ENSG00000163584	RPL22L1
ENSG00000163577	EIF5A2
ENSG00000121858	TNFSF10
ENSG00000058056	USP13
ENSG00000078081	LAMP3
ENSG00000073803	MAP3K13
ENSG00000073849	ST6GAL1
ENSG00000163923	RPL39L
ENSG00000136514	RTP4
ENSG00000188001	TPRG1
ENSG00000152492	CCDC50
ENSG00000185112	FAM43A
ENSG00000061938	TNK2
ENSG00000072274	TFRC
ENSG00000213123	TCTEX1D2
ENSG00000145107	TM4SF19
ENSG00000075711	DLG1
ENSG00000182899	RPL35A
ENSG00000250312	ZNF718
ENSG00000131127	ZNF141
ENSG00000182903	ZNF721
ENSG00000133256	PDE6B
ENSG00000249592	RP11-440L14.1
ENSG00000196810	CTBP1-AS2
ENSG00000185049	NELFA
ENSG00000214367	HAUS3
ENSG00000123933	MXD4
ENSG00000159733	ZFYVE28
ENSG00000249673	NOP14-AS1
ENSG00000145220	LYAR
ENSG00000168826	ZBTB49
ENSG00000251580	RP11-539L10.3
ENSG00000170846	AC093323.3
ENSG00000178988	MRFAP1L1
ENSG00000004468	CD38
ENSG00000137441	FGFBP2
ENSG00000263327	TAPT1-AS1
ENSG00000002549	LAP3
ENSG00000047662	FAM184B
ENSG00000163257	DCAF16
ENSG00000091490	SEL1L3
ENSG00000109689	STIM2
ENSG00000047365	ARAP2
ENSG00000109787	KLF3
ENSG00000121895	TMEM156
ENSG00000157796	WDR19
ENSG00000163682	RPL9
ENSG00000168421	RHOH
ENSG00000124406	ATP8A1
ENSG00000163281	GNPDA2
ENSG00000170448	NFXL1
ENSG00000074966	TXK
ENSG00000145247	OCIAD2
ENSG00000109184	DCUN1D4
ENSG00000157426	AASDH
ENSG00000171476	HOPX
ENSG00000163453	IGFBP7
ENSG00000145241	CENPC
ENSG00000248049	UBA6-AS1
ENSG00000169429	IL8
ENSG00000163739	CXCL1
ENSG00000163736	PPBP
ENSG00000163735	CXCL5
ENSG00000163734	CXCL3
ENSG00000081041	CXCL2
ENSG00000124882	EREG
ENSG00000138755	CXCL9
ENSG00000169245	CXCL10
ENSG00000251022	THAP9-AS1
ENSG00000145287	PLAC8
ENSG00000173083	HPSE
ENSG00000163312	HELQ
ENSG00000163322	FAM175A
ENSG00000138639	ARHGAP24
ENSG00000118785	SPP1
ENSG00000163644	PPM1K
ENSG00000138642	HERC6
ENSG00000138646	HERC5
ENSG00000138640	FAM13A
ENSG00000145335	SNCA
ENSG00000168785	TSPAN5
ENSG00000254531	AP001816.1
ENSG00000153064	BANK1
ENSG00000138821	SLC39A8
ENSG00000164039	BDH2
ENSG00000145348	TBCK
ENSG00000138795	LEF1
ENSG00000109475	RPL34
ENSG00000145349	CAMK2D
ENSG00000269893	SNHG8
ENSG00000145390	USP53
ENSG00000164109	MAD2L1
ENSG00000050730	TNIP3
ENSG00000164111	ANXA5
ENSG00000145375	SPATA5
ENSG00000077684	JADE1
ENSG00000151012	SLC7A11
ENSG00000273247	RP11-83A24.2
ENSG00000172007	RAB33B
ENSG00000273472	RP11-102N12.3
ENSG00000109452	INPP4B
ENSG00000151612	ZNF827
ENSG00000164169	PRMT10
ENSG00000198589	LRBA
ENSG00000145425	RPS3A
ENSG00000170006	TMEM154
ENSG00000121210	KIAA0922
ENSG00000164114	MAP9
ENSG00000171503	ETFDH
ENSG00000145439	CBR4
ENSG00000137601	NEK1
ENSG00000164104	HMGB2
ENSG00000271646	RP11-326I11.3
ENSG00000164306	PRIMPOL
ENSG00000251230	RP11-701P16.5
ENSG00000164323	KIAA1430
ENSG00000188242	CTD-2228K2.5
ENSG00000247516	MIR4458HG
ENSG00000154122	ANKH
ENSG00000154153	FAM134B
ENSG00000176788	BASP1
ENSG00000168685	IL7R
ENSG00000197603	C5orf42
ENSG00000164327	RICTOR
ENSG00000171522	PTGER4
ENSG00000132356	PRKAA1
ENSG00000145592	RPL37
ENSG00000083720	OXCT1
ENSG00000198865	CCDC152
ENSG00000177721	ANXA2R
ENSG00000215068	AC025171.1
ENSG00000151882	CCL28
ENSG00000248092	NNT-AS1
ENSG00000170571	EMB
ENSG00000151883	PARP8
ENSG00000213949	ITGA1
ENSG00000134363	FST
ENSG00000113088	GZMK
ENSG00000145649	GZMA
ENSG00000175857	GAPT
ENSG00000113448	PDE4D
ENSG00000068796	KIF2A
ENSG00000123219	CENPK
ENSG00000113593	PPWD1
ENSG00000113595	TRIM23
ENSG00000069020	MAST4
ENSG00000145675	PIK3R1
ENSG00000145736	GTF2H2
ENSG00000145734	BDP1
ENSG00000164331	ANKRA2
ENSG00000181104	F2R
ENSG00000245556	CTD-2037K23.2
ENSG00000152409	JMY
ENSG00000164300	SERINC5
ENSG00000039319	ZFYVE16
ENSG00000228716	DHFR
ENSG00000271043	MTRNR2L2
ENSG00000247572	CKMT2-AS1
ENSG00000186468	RPS23
ENSG00000038427	VCAN
ENSG00000247828	TMEM161B-AS1
ENSG00000081189	MEF2C
ENSG00000113369	ARRDC3
ENSG00000133302	ANKRD32
ENSG00000164291	ARSK
ENSG00000164292	RHOBTB3
ENSG00000164308	ERAP2
ENSG00000249476	CTD-2587M2.1
ENSG00000152495	CAMK4
ENSG00000224032	EPB41L4A-AS1
ENSG00000168944	CEP120
ENSG00000173926	MARCH3
ENSG00000164241	C5orf63
ENSG00000245937	CTC-228N24.3
ENSG00000064651	SLC12A2
ENSG00000158987	RAPGEF6
ENSG00000197536	C5orf56
ENSG00000125347	IRF1
ENSG00000131437	KIF3A
ENSG00000164406	LEAP2
ENSG00000081059	TCF7
ENSG00000043143	JADE2
ENSG00000120708	TGFBI
ENSG00000120738	EGR1
ENSG00000170464	DNAJC18
ENSG00000184584	TMEM173
ENSG00000182700	IGIP
ENSG00000170458	CD14
ENSG00000113119	TMCO6
ENSG00000197948	FCHSD1
ENSG00000176049	JAKMIP2
ENSG00000164266	SPINK1
ENSG00000169252	ADRB2
ENSG00000164284	GRPEL2
ENSG00000019582	CD74
ENSG00000164587	RPS14
ENSG00000113140	SPARC
ENSG00000177556	ATOX1
ENSG00000164574	GALNT10
ENSG00000113263	ITK
ENSG00000055163	CYFIP2
ENSG00000135074	ADAM19
ENSG00000170234	PWWP2A
ENSG00000164611	PTTG1
ENSG00000253522	MIR146A
ENSG00000113328	CCNG1
ENSG00000181163	NPM1
ENSG00000120129	DUSP1
ENSG00000164466	SFXN1
ENSG00000170085	SIMC1
ENSG00000146083	RNF44
ENSG00000087206	UIMC1
ENSG00000169228	RAB24
ENSG00000169220	RGS14
ENSG00000146067	FAM193B
ENSG00000113240	CLK4
ENSG00000178338	ZNF354B
ENSG00000161010	C5orf45
ENSG00000196670	ZFP62
ENSG00000204628	GNB2L1
ENSG00000183718	TRIM52
ENSG00000248275	TRIM52-AS1
ENSG00000137265	IRF4
ENSG00000250903	GMDS-AS1
ENSG00000170542	SERPINB9
ENSG00000111859	NEDD9
ENSG00000111863	ADTRP
ENSG00000112137	PHACTR1
ENSG00000112149	CD83
ENSG00000007944	MYLIP
ENSG00000124766	SOX4
ENSG00000111913	FAM65B
ENSG00000187837	HIST1H1C
ENSG00000197061	HIST1H4C
ENSG00000180573	HIST1H2AC
ENSG00000168298	HIST1H1E
ENSG00000124575	HIST1H1D
ENSG00000186470	BTN3A2
ENSG00000026950	BTN3A1
ENSG00000111801	BTN3A3
ENSG00000197903	HIST1H2BK
ENSG00000096654	ZNF184
ENSG00000272009	RP1-313I6.12
ENSG00000269293	ZSCAN16-AS1
ENSG00000196812	ZSCAN16
ENSG00000198315	ZKSCAN8
ENSG00000204681	GABBR1
ENSG00000204623	ZNRD1-AS1
ENSG00000231074	HCG18
ENSG00000204599	TRIM39
ENSG00000241370	RPP21
ENSG00000204576	PRR3
ENSG00000204569	PPP1R10
ENSG00000137343	ATAT1
ENSG00000137331	IER3
ENSG00000272501	XXbac-BPG299F13.17
ENSG00000226979	LTA
ENSG00000232810	TNF
ENSG00000227507	LTB
ENSG00000204482	LST1
ENSG00000204472	AIF1
ENSG00000204428	LY6G5C
ENSG00000204389	HSPA1A
ENSG00000204388	HSPA1B
ENSG00000204387	C6orf48
ENSG00000204348	DXO
ENSG00000204305	AGER
ENSG00000204287	HLA-DRA
ENSG00000198502	HLA-DRB5
ENSG00000196126	HLA-DRB1
ENSG00000196735	HLA-DQA1
ENSG00000179344	HLA-DQB1
ENSG00000237541	HLA-DQA2
ENSG00000204261	TAPSAR1
ENSG00000168394	TAP1
ENSG00000204257	HLA-DMA
ENSG00000204252	HLA-DOA
ENSG00000231389	HLA-DPA1
ENSG00000223865	HLA-DPB1
ENSG00000204228	HSD17B8
ENSG00000231500	RPS18
ENSG00000112511	PHF1
ENSG00000197283	SYNGAP1
ENSG00000124614	RPS10
ENSG00000272288	RP11-140K17.3
ENSG00000065029	ZNF76
ENSG00000023892	DEF6
ENSG00000198755	RPL10A
ENSG00000124762	CDKN1A
ENSG00000226976	COX6A1P2
ENSG00000137193	PIM1
ENSG00000137200	CMTR1
ENSG00000183826	BTBD9
ENSG00000095970	TREM2
ENSG00000137413	TAF8
ENSG00000124587	PEX6
ENSG00000137171	KLC4
ENSG00000170734	POLH
ENSG00000112715	VEGFA
ENSG00000096384	HSP90AB1
ENSG00000157593	SLC35B2
ENSG00000196284	SUPT3H
ENSG00000124813	RUNX2
ENSG00000001561	ENPP4
ENSG00000146070	PLA2G7
ENSG00000096093	EFHC1
ENSG00000096092	TMEM14A
ENSG00000001084	GCLC
ENSG00000112208	BAG2
ENSG00000272316	XXbac-BPGBPG55C20.2
ENSG00000112309	B3GAT2
ENSG00000156508	EEF1A1
ENSG00000118420	UBE3D
ENSG00000083097	DOPEY1
ENSG00000013392	RWDD2A
ENSG00000236016	RP1-3J17.3
ENSG00000188994	ZNF292
ENSG00000226524	RP1-102H19.8
ENSG00000146281	PM20D2
ENSG00000112182	BACH2
ENSG00000261366	MANEA-AS1
ENSG00000146263	MMS22L
ENSG00000057657	PRDM1
ENSG00000130348	QRSL1
ENSG00000146285	SCML4
ENSG00000080546	SESN1
ENSG00000155085	AK9
ENSG00000112394	SLC16A10
ENSG00000009413	REV3L
ENSG00000231889	TRAF3IP2-AS1
ENSG00000056972	TRAF3IP2
ENSG00000010810	FYN
ENSG00000074935	TUBE1
ENSG00000155130	MARCKS
ENSG00000178425	NT5DC1
ENSG00000187189	TSPYL4
ENSG00000188820	FAM26F
ENSG00000196911	KPNA5
ENSG00000164465	DCBLD1
ENSG00000111860	CEP85L
ENSG00000111875	ASF1A
ENSG00000025156	HSF2
ENSG00000066651	TRMT11
ENSG00000172673	THEMIS
ENSG00000198945	L3MBTL3
ENSG00000164483	SAMD3
ENSG00000118507	AKAP7
ENSG00000112303	VNN2
ENSG00000146409	SLC18B1
ENSG00000112306	RPS12
ENSG00000028839	TBPL1
ENSG00000118515	SGK1
ENSG00000135541	AHI1
ENSG00000237499	RP11-356I2.4
ENSG00000118503	TNFAIP3
ENSG00000112378	PERP
ENSG00000010818	HIVEP2
ENSG00000146416	AIG1
ENSG00000189007	ADAT2
ENSG00000146414	SHPRH
ENSG00000178199	ZC3H12D
ENSG00000181472	ZBTB2
ENSG00000131018	SYNE1
ENSG00000112029	FBXO5
ENSG00000074706	IPCEF1
ENSG00000236537	RP11-732M18.3
ENSG00000130338	TULP4
ENSG00000164674	SYTL3
ENSG00000092820	EZR
ENSG00000164691	TAGAP
ENSG00000112096	SOD2
ENSG00000085511	MAP3K4
ENSG00000270419	CAHM
ENSG00000213066	FGFR1OP
ENSG00000184465	WDR27
ENSG00000164828	SUN1
ENSG00000178381	ZFAND2A
ENSG00000136213	CHST12
ENSG00000198286	CARD11
ENSG00000075624	ACTB
ENSG00000075618	FSCN1
ENSG00000122512	PMS2
ENSG00000008256	CYTH3
ENSG00000164631	ZNF12
